id,answer_label,correct_answer,numeric_answer,unit,explanation,answer_rationale,python_verifier,legal_references,source_url
Q001,C,"$1,180",1180.0,AUD,"Reduced cost base = 4,000 (1,000 x $4) + 120 (1997 brokerage/stamp duty) + 60 (2023 brokerage) = 4,180 → Capital proceeds = 1,000 x $3 = 3,000 → Capital loss = reduced cost base - capital proceeds = 4,180 - 3,000 = 1,180","{""$590"": ""Wrongly halved the loss as if a 50% discount applied (discounts never apply to losses)"", ""-$1,180"": ""Subtracted in the wrong order, giving a negative (a gain instead of a loss)"", ""$1,180"": ""Correct answer"", ""$7,180"": ""Added proceeds to the reduced cost base instead of subtracting""}","{""formula"": ""reduced_cost_base - capital_proceeds"", ""params"": {""reduced_cost_base"": 4180, ""capital_proceeds"": 3000}, ""expected"": 1180.0}","[""ITAA 1997 s 104-10"", ""ITAA 1997 s 110-55"", ""ITAA 1997 s 102-10""]",https://www.ato.gov.au/forms-and-instructions/capital-gains-tax-guide-2024/about-capital-gains-tax/how-to-work-out-your-capital-gain-or-capital-loss
Q002,A,"$3,713",3713.0,AUD,"2024-25 Stage 3 bracket: tax = (40,000 - 18,200) x 0.16 = 21,800 x 0.16 = 3,488. → Medicare levy = 40,000 x 0.02 = 800. → LITO (37,501-45,000 band) = 700 - (40,000 - 37,500) x 0.05 = 700 - 125 = 575. → Net tax = 3,488 + 800 - 575 = 3,713.","{""$3,713"": ""Correct answer"", ""$4,367"": ""Used the pre-Stage-3 19c rate (2023-24 and earlier) instead of the 16c rate that applies from 2024-25"", ""$2,913"": ""Forgot to add the 2% Medicare levy"", ""$4,288"": ""Forgot to subtract the low income tax offset (LITO)""}","{""formula"": ""(taxable_income - bracket_floor) * marginal_rate + taxable_income * medicare_rate - (lito_max - (taxable_income - lito_taper_start) * lito_taper_rate)"", ""params"": {""taxable_income"": 40000, ""bracket_floor"": 18200, ""marginal_rate"": 0.16, ""medicare_rate"": 0.02, ""lito_max"": 700, ""lito_taper_start"": 37500, ""lito_taper_rate"": 0.05, ""old_rate"": 0.19}, ""expected"": 3713.0}","[""ITAA 1997 s 4-10"", ""Income Tax Rates Act 1986 Sch 7"", ""ITAA 1936 s 159N"", ""Medicare Levy Act 1986 s 6""]",https://www.ato.gov.au/tax-rates-and-codes/tax-rates-australian-residents
Q003,C,"$143,853",143853.0,AUD,"Tax-free limit = base + (service × years) = 11,985 + (5,994 × 22) → = 11,985 + 131,868 = 143,853 → As Priya's redundancy payment ($92,000) is less than the tax-free limit ($143,853), the whole payment is tax-free","{""$17,979"": ""Added only one year's service amount instead of multiplying by 22 years"", ""$131,868"": ""Omitted the base amount and counted only the service component"", ""$143,853"": ""Correct answer"", ""$92,000"": ""Assumed the tax-free limit equals the redundancy payment actually received ($92,000)""}","{""formula"": ""base + service*years"", ""params"": {""base"": 11985, ""service"": 5994, ""years"": 22, ""payment"": 92000}, ""expected"": 143853.0}","[""ITAA 1997 s 83-170"", ""ITAA 1997 s 83-175""]",https://www.ato.gov.au/businesses-and-organisations/hiring-and-paying-your-workers/engaging-a-worker/when-a-worker-leaves-your-business/taxation-of-termination-payments/redundancy-and-early-retirement
Q004,A,"$95,901",95901.0,AUD,"Genuine redundancy tax-free limit = base amount + (service amount × years of service) → For the 2023-24 income year: base amount = $11,985, service amount = $5,994 → Tax-free part = 11,985 + (5,994 × 14) = 11,985 + 83,916 = 95,901","{""$95,901"": ""Correct answer"", ""$17,979"": ""Added only one year's service amount instead of multiplying by the 14 years of service"", ""$251,706"": ""Multiplied the base amount by years of service as well (the base amount is not multiplied)"", ""$83,916"": ""Omitted the base amount and counted only the service component""}","{""formula"": ""base + service*years"", ""params"": {""base"": 11985, ""service"": 5994, ""years"": 14, ""payment"": 205000}, ""expected"": 95901.0}","[""ITAA 1997 s 83-170"", ""ITAA 1997 s 83-175""]",https://www.ato.gov.au/businesses-and-organisations/hiring-and-paying-your-workers/engaging-a-worker/when-a-worker-leaves-your-business/taxation-of-termination-payments/redundancy-and-early-retirement
Q005,C,$75,75.0,AUD,Taxable income = 750 assessable income - 250 deductions = 500 → Gross income tax = 500 x 30% = 150 → Apply $75 franking tax offset: 150 - 75 = 75 income tax payable,"{""$225"": ""Added the franking credit to the tax instead of offsetting it"", ""$50"": ""Used the 25% base-rate-entity rate instead of the 30% rate that applies here"", ""$75"": ""Correct answer"", ""$150"": ""Forgot to apply the $75 franking tax offset against the gross tax""}","{""formula"": ""taxable_income * tax_rate - franking_offset"", ""params"": {""taxable_income"": 500, ""tax_rate"": 0.3, ""franking_offset"": 75}, ""expected"": 75.0}","[""ITAA 1997 s 4-10"", ""ITAA 1997 s 207-20""]",https://www.ato.gov.au/businesses-and-organisations/corporate-tax-measures-and-assurance/imputation/in-detail/utilising-franking-tax-offsets-and-effect-on-losses-corporate-tax-entities
Q006,D,"$1,230",1230.0,AUD,"Kept taxable income within the 2021-22 LMITO taper-down band ($90,001-$126,000) → LMITO above $90,000 = $1,500 minus 3 cents for every $1 above $90,000 → Income above the taper start = 99,000 - 90,000 = 9,000 → Reduction = 9,000 x 0.03 = 270 → LMITO = 1,500 - 270 = 1,230","{""-$1,470"": ""Applied the 3c taper to the whole taxable income instead of only the amount over $90,000"", ""$825"": ""Used the 7.5c phase-in rate (for the $37,000-$48,000 band) instead of the 3c phase-out rate"", ""$1,500"": ""Gave the full $1,500 LMITO without applying the 3c taper above $90,000"", ""$1,230"": ""Correct answer""}","{""formula"": ""max_offset - (taxable_income - taper_start) * taper_rate"", ""params"": {""taxable_income"": 99000, ""max_offset"": 1500, ""taper_start"": 90000, ""taper_rate"": 0.03}, ""expected"": 1230.0}","[""ITAA 1936 s 159N"", ""ITAA 1997 s 61-575""]",https://www.ato.gov.au/forms-and-instructions/low-and-middle-income-earner-tax-offsets
Q007,D,"$2,804",2804.0,AUD,"Work-related kilometres = (46 × 33) + (12 × 118) + 252 = 1,518 + 1,416 + 252 = 3,186 km → 3,186 km is below the 5,000 km cap, so all of it is claimable → Deduction = 3,186 × $0.88 (2025-26 rate) = $2,804","{""$2,485"": ""Used the 2022-23 rate of 78 cents instead of the 2025-26 rate"", ""$4,400"": ""Claimed the full 5,000 km cap regardless of the actual 3,186 km travelled"", ""$2,708"": ""Used the 2023-24 rate of 85 cents instead of the 2025-26 rate of 88 cents"", ""$2,804"": ""Correct answer""}","{""formula"": ""round(min(business_km, 5000) * rate)"", ""params"": {""business_km"": 3186, ""rate"": 0.88, ""prior_rate"": 0.85, ""rate_2223"": 0.78}, ""expected"": 2804.0}","[""ITAA 1997 s 28-25"", ""ITAA 1997 s 8-1""]",https://www.ato.gov.au/individuals-and-families/income-deductions-offsets-and-records/deductions-you-can-claim/work-related-deductions/cars-transport-and-travel/motor-vehicle-and-car-expenses/expenses-for-a-car-you-own-or-lease/cents-per-kilometre-method
Q008,A,"$7,280.70",7280.7,AUD,"The car fringe benefit is a type 1 benefit (GST credit available), so use the higher gross-up rate 2.0802 → 3,500 x 2.0802 = 7,280.70","{""$7,280.70"": ""Correct answer"", ""$3,500.00"": ""Reported the taxable value without grossing it up"", ""$3,421.93"": ""Applied the 47% FBT rate at the gross-up step instead of producing the grossed-up amount"", ""$6,603.80"": ""Used the type 2 gross-up rate 1.8868 instead of the type 1 rate 2.0802""}","{""formula"": ""car_value * type1_rate"", ""params"": {""car_value"": 3500, ""type1_rate"": 2.0802, ""type2_rate"": 1.8868}, ""expected"": 7280.7}","[""FBTAA 1986 s 5B"", ""FBTAA 1986 s 57A""]",https://www.ato.gov.au/forms-and-instructions/fringe-benefits-tax-return-2024-instructions/worked-examples-not-for-profit-employers-completing-your-fbt-return
Q009,C,$788,788.0,AUD,"Fixed rate for 2024-25 = 70 cents per work hour → Deduction = hours worked from home × rate per hour → = 1,126 × $0.70 = $788","{""$586"": ""Used the old 52 cents per hour rate (2020-21/2021-22)"", ""$1,126"": ""Reported the number of hours as the deduction without multiplying by the hourly rate"", ""$788"": ""Correct answer"", ""$754"": ""Used the 2022-23/2023-24 rate of 67 cents instead of the 2024-25 rate of 70 cents""}","{""formula"": ""round(hours * rate)"", ""params"": {""hours"": 1126, ""rate"": 0.7, ""prior_rate"": 0.67, ""rate_5253"": 0.52}, ""expected"": 788.0}","[""ITAA 1997 s 8-1"", ""PCG 2023/1""]",https://www.ato.gov.au/individuals-and-families/income-deductions-offsets-and-records/deductions-you-can-claim/work-related-deductions/working-from-home-expenses/fixed-rate-method
Q010,B,$165.00,165.0,AUD,"Cost is $300 or less and the asset is used >50% for producing non-business assessable income, so an immediate deduction applies → Deduction is reduced for the 25% non-taxable (private) use: taxable use = 75% → Immediate deduction = 220 x 75% = 165","{""$55.00"": ""Apportioned by the 25% private-use percentage instead of the 75% taxable-use percentage"", ""$165.00"": ""Correct answer"", ""$219.75"": ""Subtracted the 0.25 fraction from the cost instead of multiplying"", ""$220.00"": ""Claimed the full $220 cost, ignoring the 25% private-use reduction""}","{""formula"": ""cost * taxable_pct"", ""params"": {""cost"": 220, ""taxable_pct"": 0.75, ""private_pct"": 0.25}, ""expected"": 165.0}","[""ITAA 1997 s 40-80(2)""]",https://www.ato.gov.au/forms-and-instructions/depreciating-assets-guide-2020/deductions-for-the-cost-of-depreciating-assets/working-out-decline-in-value/immediate-deduction-for-certain-non-business-depreciating-assets-costing-300-or-less
