id,topic,year_of_income,question,choice_A,choice_B,choice_C,choice_D
Q001,CGT,2023-24,"In July 1997 Tobias bought 1,000 shares at $4 per share and incurred brokerage and stamp duty of $120. In December 2023 he sold all 1,000 shares for $3 per share, incurring brokerage of $60. His reduced cost base is the purchase price $4,000 plus $120 (1997 brokerage and stamp duty) plus $60 (2023 brokerage) = $4,180, and his capital proceeds are 1,000 x $3 = $3,000.

What is Tobias's capital loss on the shares?

A. $590
B. -$1,180
C. $1,180
D. $7,180",$590,"-$1,180","$1,180","$7,180"
Q002,Individual income tax,2024-25,"Leah is an Australian resident for all of 2024-25 with a taxable income of $40,000, single with no dependants. From 1 July 2024 the Stage 3 rates apply: $18,201 - $45,000 is taxed at 16c for each $1 over $18,200 (the old 19c rate no longer applies). Add the 2% Medicare levy on taxable income, then subtract the low income tax offset (LITO): for income between $37,501 and $45,000, LITO = $700 minus 5 cents for every $1 over $37,500.

What is Leah's net tax payable (income tax + Medicare levy - LITO) for 2024-25?

A. $3,713
B. $4,367
C. $2,913
D. $4,288","$3,713","$4,367","$2,913","$4,288"
Q003,Employment,2023-24,"Priya is 46 and started working for HJK Pty Ltd on 5 July 2001. She is made redundant effective 20 August 2023 because the company merged and her role was no longer needed. Priya is paid 2 weeks for each of her 22 years of service based on weekly earnings of $2,090 (approximately 2 × $2,090 × 22 = $92,000). She is receiving a genuine redundancy. For 2023-24 the tax-free limit is the base amount $11,985 plus the service amount $5,994 for each completed year of service.

What is Priya's genuine redundancy tax-free limit for her 22 years of service?

A. $17,979
B. $131,868
C. $143,853
D. $92,000","$17,979","$131,868","$143,853","$92,000"
Q004,Employment,2023-24,"Darren is a 57-year-old operations director who has worked for Coral Bay Freight for 14 years. In 2023-24 Coral Bay Freight is acquired by a larger group that already has an operations director, so Darren's position is no longer needed and his employment is terminated. He accepts a redundancy and is paid $270,000, of which $205,000 is the genuine redundancy part. For 2023-24 the genuine redundancy tax-free limit is the base amount of $11,985 plus the service amount of $5,994 for each completed year of service.

What is the tax-free part of Darren's genuine redundancy payment based on his 14 years of service?

A. $95,901
B. $17,979
C. $251,706
D. $83,916","$95,901","$17,979","$251,706","$83,916"
Q005,Division 7A & Company Tax,2014-15,"In the 2014-15 income year Company K has assessable income of $750 ($175 franked dividend, $75 franking credit gross-up and $500 other income) and $250 of allowable deductions, giving taxable income of $500. It applies the 30% company tax rate and is entitled to a $75 franking tax offset for the franking credit. Income tax payable = taxable income x 30% less the franking tax offset.

What is Company K's income tax payable for 2014-15 (before any prior-year losses)?

A. $225
B. $50
C. $75
D. $150",$225,$50,$75,$150
Q006,Individual income tax,2021-22,"Hugo's taxable income is $99,000 for 2021-22. As his income is more than $90,000 but less than $126,000, his low and middle income tax offset (LMITO) is the full amount of $1,500 minus 3 cents for every dollar his income is above $90,000.

What is Hugo's low and middle income tax offset (LMITO) amount for 2021-22?

A. -$1,470
B. $825
C. $1,500
D. $1,230","-$1,470",$825,"$1,500","$1,230"
Q007,Employment,2025-26,"Once per week Mateo makes a 33-kilometre round trip in his own car from his city head office to meet clients, and once per month he makes a 118-kilometre round trip to clients at another location. For 2025-26 his diary shows he made 46 weekly client trips (46 × 33 km = 1,518 km) and 12 monthly client trips (12 × 118 km = 1,416 km), giving total work-related travel of 2,934 km, plus a further 252 km of occasional client visits, for 3,186 km. The cents per kilometre rate for 2025-26 is 88 cents per kilometre, and a maximum of 5,000 work-related kilometres can be claimed per car.

What car expense deduction can Mateo claim for 2025-26 using the cents per kilometre method?

A. $2,485
B. $4,400
C. $2,708
D. $2,804","$2,485","$4,400","$2,708","$2,804"
Q008,FBT,2023-24,"Goldenfields Mission, a public benevolent institution registered for GST, provides Rosa with a car fringe benefit valued at $3,500 using the statutory formula method. This is a type 1 benefit because the institution is entitled to a GST credit for the provision of the benefit. The type 1 gross-up rate is 2.0802.

What is Rosa's grossed-up type 1 amount for the car fringe benefit?

A. $7,280.70
B. $3,500.00
C. $3,421.93
D. $6,603.80","$7,280.70","$3,500.00","$3,421.93","$6,603.80"
Q009,Employment,2024-25,"Naomi is an employee engineer. During 2024-25 she works from home and uses her timesheets to record the hours she spends working from home. At the end of the income year she works out she worked at home for a total of 1,126 hours. She incurs electricity, internet and mobile phone expenses while working from home. For 2024-25 the working-from-home fixed rate is 70 cents per work hour, which covers energy, phone, internet, stationery and computer consumables.

What working-from-home deduction can Naomi claim for 2024-25 using the fixed rate method?

A. $586
B. $1,126
C. $788
D. $754",$586,"$1,126",$788,$754
Q010,Depreciation,2019-20,"Hassan buys a noise-cancelling headset for $220. He uses it 75% of the time for managing his (non-business) share portfolio and 25% of the time for private purposes. Because he uses it more than 50% of the time to produce non-business assessable income, and it cost $300 or less, he qualifies for an immediate deduction - but the deduction must be reduced by the 25% private (non-taxable) use.

What immediate deduction can Hassan claim for the headset (ignoring GST)?

A. $55.00
B. $165.00
C. $219.75
D. $220.00",$55.00,$165.00,$219.75,$220.00
Q011,Study and training loans,2025-26,"In the 2025-26 financial year Ananya has a taxable income of $224,500 and reportable super contributions of $26,930, giving a repayment income of $251,430. This is above $179,286, so the repayment is 10% of her total repayment income (the ATO rounds the result to the nearest dollar).

What is Ananya's compulsory study and training loan repayment for 2025-26?

A. $37,714.50
B. $7,214.40
C. $30,193.10
D. $25,143.00","$37,714.50","$7,214.40","$30,193.10","$25,143.00"
Q012,Individual income tax,2023-24,"Priya is an Australian resident for the year ended 30 June 2024 with a taxable income of $36,500. The ATO works out the tax payable on her taxable income, stating the amount includes the Medicare levy. For 2023-24 the second resident bracket is 19c for each $1 over $18,200, and the Medicare levy is 2% of taxable income.

What is the tax payable (including the 2% Medicare levy) on Priya's taxable income of $36,500 for 2023-24?

A. $3,843
B. $7,665
C. $4,207
D. $3,477","$3,843","$7,665","$4,207","$3,477"
Q013,Superannuation,2024-25,"In 2024-25 Nadia has $18,000 of carried-forward unused concessional cap (her total super balance at 30 June 2024 was below $500,000, so she can use it). Her employer pays $9,500 of super guarantee concessional contributions during the year, and she makes a $6,000 personal contribution for which she will claim a tax deduction (a concessional contribution). The standard concessional contributions cap for 2024-25 is $30,000.

How much more can Nadia contribute as a concessional contribution in 2024-25 before exceeding her available cap?

A. $42,000
B. $30,000
C. $14,500
D. $32,500","$42,000","$30,000","$14,500","$32,500"
Q014,Individual income tax,2024-25,"Sanjay became an Australian resident for tax purposes on 12 October, so his tax-free threshold is apportioned for 9 of the 12 months in the income year (including the month he arrived). A part-year resident's tax-free threshold is a flat $13,464 plus an additional $4,736 apportioned for the number of resident months.

What is Sanjay's pro-rated tax-free threshold for the income year?

A. $13,650
B. $18,200
C. $17,016
D. $13,464","$13,650","$18,200","$17,016","$13,464"
Q015,Superannuation,2023-24,"In the current financial year Rosa earns $34,000, which is at or below the lower income threshold. She pays $42.30 per fortnight from her take-home (after-tax) pay into her super account, totalling $1,100 of personal non-concessional contributions for the year. She meets all other co-contribution eligibility requirements. The government matches eligible personal contributions at 50 cents per dollar, up to a maximum co-contribution of $500.

What super co-contribution will the government pay into Rosa's super account?

A. $550
B. $275
C. $500
D. $1,100",$550,$275,$500,"$1,100"
Q016,Division 7A & Company Tax,2015-16,"Continuing the same amalgamated loan, the amount of the loan remaining at the end of the previous income year (year ended 30 June 2015) is $63,750. The benchmark interest rate for the 2016 income year is 5.45% and the remaining term is 6 years (the 7-year loan term less one elapsed year). The minimum yearly repayment is worked out using MYR = (P x I) / (1 - (1 / (1 + I)) ^ T).

What is the minimum yearly repayment for the 2016 income year?

A. $12,944.01
B. $3,474.38
C. $11,197.61
D. $12,741.19","$12,944.01","$3,474.38","$11,197.61","$12,741.19"
Q017,Superannuation,2025-26,"Priscilla finished employment with Clever Crosswords Pty Ltd on 30 June 2025. In September 2025 the company realises it underpaid her for the period 1 January to 30 June 2025 and works out back pay of $3,150 of ordinary hours and $945 of overtime. Priscilla is paid the back pay on 6 September 2025. Overtime is not OTE, and because payment is made after 1 July 2025 the 12% super guarantee rate applies.

What super guarantee contribution must Clever Crosswords Pty Ltd pay on Priscilla's back pay?

A. $378.00
B. $113.40
C. $491.40
D. $362.25",$378.00,$113.40,$491.40,$362.25
Q018,FBT,2025-26,"Kestrel Advisory Partners spends $6,800 on meal entertainment (not provided under a salary packaging arrangement) for the FBT year ending 31 March 2026. On 1 April 2026 the employer elects to value the meal entertainment fringe benefits using the 50:50 split method.

What is the taxable value of the meal entertainment fringe benefits under the 50:50 split method?

A. $3,400.00
B. $6,415.12
C. $1,598.00
D. $6,800.00","$3,400.00","$6,415.12","$1,598.00","$6,800.00"
Q019,FBT,2020-21,"A car purchased by Summit Architecture Studio in February 2020 is used privately by its employee Priya Venkatesh throughout the FBT year 1 April 2020 to 31 March 2021. The employer and employee kept the right records and determined the business use percentage is 65% (so private use is 35%). The total operating costs for the year are $16,400 (fuel $2,600, repairs and maintenance $1,200, service $900, insurance and registration $1,800, deemed depreciation $8,200 and deemed interest $1,700). Priya spent $1,800 on fuel and provided the required declaration to the employer.

What is the taxable value of the car fringe benefit using the operating cost method for the FBT year ending 31 March 2021?

A. $7,540
B. $5,740
C. $3,940
D. $8,860","$7,540","$5,740","$3,940","$8,860"
